tender_id,honest_winner,honest_public_value,corrupt_candidate,corrupt_firm_payoff,corruption_attempted,official_accepts,corruption_accepted,award_distorted,final_winner,final_public_value,corruption_loss
56,T056_F4,81.70727611952067,T056_F3,159.916570900715,True,True,True,True,T056_F3,45.815913426753696,35.891362692766975
57,T057_F4,92.02099955674746,T057_F1,139.80719543374522,True,True,True,True,T057_F1,56.75476026950566,35.266239287241795
58,T058_F4,76.30208923616334,T058_F3,129.47544678348197,True,True,True,True,T058_F3,52.52154549695125,23.780543739212092
59,T059_F1,89.78676706960766,T059_F3,149.15199275763882,True,True,True,True,T059_F3,45.40618348159776,44.380583588009905
60,T060_F3,82.39069457984681,T060_F4,152.50505194324498,True,True,True,True,T060_F4,70.1884136367576,12.202280943089207
61,T061_F2,74.87572723905227,T061_F1,133.9852390485787,True,True,True,True,T061_F1,59.00757322599641,15.868154013055857
62,T062_F2,81.02266629407907,T062_F3,156.13251663055928,True,True,True,True,T062_F3,43.433803900943104,37.58886239313597
63,T063_F4,73.3040147643569,T063_F3,153.30192718377043,True,True,True,True,T063_F3,58.58324152113656,14.720773243220336
64,T064_F1,72.28886050715512,T064_F2,134.6116575098556,True,True,True,True,T064_F2,50.81890923534515,21.46995127180997
65,T065_F5,79.22487282621375,T065_F2,155.60616348933962,True,True,True,True,T065_F2,61.22997431103253,17.994898515181227
66,T066_F3,81.67886617493932,T066_F2,149.6073929154247,True,True,True,True,T066_F2,61.52190955855071,20.156956616388605
67,T067_F5,88.09059029276526,T067_F4,132.18927542513507,True,True,True,True,T067_F4,66.0898010119391,22.000789280826154
68,T068_F1,83.87575536115797,T068_F2,158.92865777907065,True,True,True,True,T068_F2,56.52298729962502,27.35276806153295
69,T069_F4,83.82447404478492,T069_F1,140.09984444770924,True,True,True,True,T069_F1,58.610971711685565,25.213502333099356
70,T070_F4,81.1719186568669,T070_F2,157.52245155831605,True,True,True,True,T070_F2,52.77882455349933,28.393094103367567
71,T071_F2,87.00201902307406,T071_F3,152.0381824300709,True,True,True,True,T071_F3,59.26076578046397,27.741253242610085
72,T072_F5,76.8002495912313,T072_F3,146.7921906323387,True,True,True,True,T072_F3,59.75359265322109,17.046656938010216
73,T073_F2,86.91752659543593,T073_F4,151.84820975156353,True,True,True,True,T073_F4,62.72652577315213,24.191000822283797
74,T074_F4,80.19241618890013,T074_F1,146.24639281992222,True,True,True,True,T074_F1,52.28340898739836,27.909007201501765
75,T075_F1,77.07299360998073,T075_F3,153.80532229544193,True,True,True,True,T075_F3,45.46067150835689,31.61232210162384
76,T076_F5,84.07571035513448,T076_F2,148.72737767122356,True,True,True,True,T076_F2,58.957355402248375,25.1183549528861
77,T077_F1,78.43147676166859,T077_F5,146.93267171606772,True,True,True,True,T077_F5,63.86002331220316,14.57145344946543
78,T078_F4,71.97380764086361,T078_F5,155.80020084128307,True,True,True,True,T078_F5,54.17657592909216,17.797231711771452
79,T079_F3,77.97981501063293,T079_F1,159.92977824001954,True,True,True,True,T079_F1,59.28057329660037,18.69924171403256
80,T080_F5,81.6940630363882,T080_F4,156.95761138055545,True,True,True,True,T080_F4,57.104371726128534,24.589691310259667
81,T081_F5,92.16952253900672,T081_F1,154.79711102211857,True,True,True,True,T081_F1,49.750669278911936,42.418853260094785
82,T082_F1,87.52088289959397,T082_F4,138.53514511407963,True,True,True,True,T082_F4,65.80608936836333,21.71479353123064
83,T083_F5,86.04619853117536,T083_F3,154.45629348342896,True,True,True,True,T083_F3,57.8381970191416,28.20800151203376
84,T084_F1,85.43195180874571,T084_F2,155.04373535596858,True,True,True,True,T084_F2,67.66937893730497,17.76257287144074
85,T085_F5,86.74442511613815,T085_F1,144.68625566900528,True,True,True,True,T085_F1,65.24504307497892,21.499382041159222
86,T086_F5,81.33589085644677,T086_F4,158.79871239340955,True,True,True,True,T086_F4,55.611208002992,25.724682853454766
87,T087_F3,88.52972737507409,T087_F5,153.14231025150175,True,True,True,True,T087_F5,48.974103630149656,39.55562374492443
88,T088_F5,89.75340398146463,T088_F4,153.28352170089215,True,True,True,True,T088_F4,56.79086536556929,32.96253861589534
89,T089_F2,84.32445258389319,T089_F5,142.764981625678,True,True,True,True,T089_F5,52.16062900085096,32.16382358304223
90,T090_F4,88.9125642640047,T090_F3,151.3845778393444,True,True,True,True,T090_F3,54.18021235051404,34.73235191349066
91,T091_F3,70.10849011871585,T091_F5,145.62530111107708,True,True,True,True,T091_F5,53.618498016349086,16.489992102366763
92,T092_F5,81.15009209208186,T092_F1,155.67823648994946,True,True,True,True,T092_F1,54.49107608459778,26.659016007484084
93,T093_F1,72.33538015699504,T093_F4,130.01257895880113,True,True,True,True,T093_F4,60.09672119907276,12.238658957922283
94,T094_F1,83.61057099987774,T094_F4,159.1372660907205,True,True,True,True,T094_F4,65.97971585366632,17.630855146211417
95,T095_F2,74.35884670234135,T095_F3,151.03125273528144,True,True,True,True,T095_F3,48.03752307682004,26.321323625521316
96,T096_F1,80.81455657854447,T096_F4,154.23425132772874,True,True,True,True,T096_F4,52.87067424485075,27.943882333693722
97,T097_F3,80.3645858464426,T097_F4,146.59890615332296,True,True,True,True,T097_F4,66.01100147952978,14.353584366912813
98,T098_F3,97.0569540376904,T098_F2,149.4649325610096,True,True,True,True,T098_F2,53.46894149230382,43.58801254538658
99,T099_F5,92.42877120569564,T099_F2,144.38620159396902,True,True,True,True,T099_F2,49.28014373493118,43.14862747076446
100,T100_F5,82.5506188741897,T100_F3,159.23875719742864,True,True,True,True,T100_F3,42.19144712959664,40.359171744593056
