round,regime,p,sanction,expected_penalty,tender_id,honest_winner,final_winner,corrupt_candidate,corruption_attempted,corruption_accepted,award_distorted,honest_public_value,final_public_value,corruption_loss,candidate_propensity_before,candidate_propensity_after,candidate_failure_lambda
1,Pre-reform,0.1,100,10.0,70,T070_F4,T070_F2,T070_F2,True,True,True,81.1719186568669,52.77882455349933,28.393094103367567,0.5,0.625,0.27947895791583166
1,Pre-reform,0.1,100,10.0,71,T071_F2,T071_F3,T071_F3,True,True,True,87.00201902307406,59.26076578046397,27.741253242610085,0.5,0.625,0.2822444889779559
1,Pre-reform,0.1,100,10.0,72,T072_F5,T072_F3,T072_F3,True,True,True,76.8002495912313,59.75359265322109,17.046656938010216,0.5,0.625,0.28454909819639274
1,Pre-reform,0.1,100,10.0,73,T073_F2,T073_F4,T073_F4,True,True,True,86.91752659543593,62.72652577315213,24.191000822283797,0.5,0.625,0.28731462925851703
1,Pre-reform,0.1,100,10.0,74,T074_F4,T074_F1,T074_F1,True,True,True,80.19241618890013,52.28340898739836,27.909007201501765,0.5,0.625,0.2882364729458918
1,Pre-reform,0.1,100,10.0,75,T075_F1,T075_F3,T075_F3,True,True,True,77.07299360998073,45.46067150835689,31.61232210162384,0.5,0.625,0.2914629258517034
1,Pre-reform,0.1,100,10.0,76,T076_F5,T076_F2,T076_F2,True,True,True,84.07571035513448,58.957355402248375,25.1183549528861,0.5,0.625,0.2933066132264529
1,Pre-reform,0.1,100,10.0,77,T077_F1,T077_F5,T077_F5,True,True,True,78.43147676166859,63.86002331220316,14.57145344946543,0.5,0.625,0.2969939879759519
1,Pre-reform,0.1,100,10.0,78,T078_F4,T078_F5,T078_F5,True,True,True,71.97380764086361,54.17657592909216,17.797231711771452,0.5,0.625,0.2992985971943888
1,Pre-reform,0.1,100,10.0,79,T079_F3,T079_F1,T079_F1,True,True,True,77.97981501063293,59.28057329660037,18.69924171403256,0.5,0.625,0.2997595190380761
1,Pre-reform,0.1,100,10.0,80,T080_F5,T080_F4,T080_F4,True,True,True,81.6940630363882,57.104371726128534,24.589691310259667,0.5,0.625,0.30344689378757517
1,Pre-reform,0.1,100,10.0,81,T081_F5,T081_F1,T081_F1,True,True,True,92.16952253900672,49.750669278911936,42.418853260094785,0.5,0.625,0.30436873747494986
1,Pre-reform,0.1,100,10.0,82,T082_F1,T082_F4,T082_F4,True,True,True,87.52088289959397,65.80608936836333,21.71479353123064,0.5,0.625,0.3080561122244489
1,Pre-reform,0.1,100,10.0,83,T083_F5,T083_F3,T083_F3,True,True,True,86.04619853117536,57.8381970191416,28.20800151203376,0.5,0.625,0.3098997995991984
1,Pre-reform,0.1,100,10.0,84,T084_F1,T084_F2,T084_F2,True,True,True,85.43195180874571,67.66937893730497,17.76257287144074,0.5,0.625,0.3117434869739479
1,Pre-reform,0.1,100,10.0,85,T085_F5,T085_F1,T085_F1,True,True,True,86.74442511613815,65.24504307497892,21.499382041159222,0.5,0.625,0.3135871743486974
1,Pre-reform,0.1,100,10.0,86,T086_F5,T086_F4,T086_F4,True,True,True,81.33589085644677,55.611208002992,25.724682853454766,0.5,0.625,0.3172745490981964
1,Pre-reform,0.1,100,10.0,87,T087_F3,T087_F5,T087_F5,True,True,True,88.52972737507409,48.974103630149656,39.55562374492443,0.5,0.625,0.3200400801603206
1,Pre-reform,0.1,100,10.0,88,T088_F5,T088_F4,T088_F4,True,True,True,89.75340398146463,56.79086536556929,32.96253861589534,0.5,0.625,0.3218837675350701
1,Pre-reform,0.1,100,10.0,89,T089_F2,T089_F5,T089_F5,True,True,True,84.32445258389319,52.16062900085096,32.16382358304223,0.5,0.625,0.3246492985971944
1,Pre-reform,0.1,100,10.0,90,T090_F4,T090_F3,T090_F3,True,True,True,88.9125642640047,54.18021235051404,34.73235191349066,0.5,0.625,0.32603206412825647
