p,official_penalty,official_accept_payoff,official_prefers_accept
0.05,435,-1.75,False
0.05,440,-2.0,False
0.05,445,-2.25,False
0.05,450,-2.5,False
0.05,455,-2.75,False
0.05,460,-3.0,False
0.05,465,-3.25,False
0.05,470,-3.5,False
0.05,475,-3.75,False
0.05,480,-4.0,False
0.05,485,-4.25,False
0.05,490,-4.5,False
0.05,495,-4.75,False
0.05,500,-5.0,False
0.06,0,20.0,True
0.06,5,19.7,True
0.06,10,19.4,True
0.06,15,19.1,True
0.06,20,18.8,True
0.06,25,18.5,True
0.06,30,18.2,True
0.06,35,17.9,True
0.06,40,17.6,True
0.06,45,17.3,True
0.06,50,17.0,True
0.06,55,16.7,True
0.06,60,16.4,True
0.06,65,16.1,True
0.06,70,15.8,True
0.06,75,15.5,True
0.06,80,15.2,True
0.06,85,14.9,True
0.06,90,14.600000000000001,True
0.06,95,14.3,True
0.06,100,14.0,True
0.06,105,13.7,True
0.06,110,13.4,True
0.06,115,13.100000000000001,True
0.06,120,12.8,True
0.06,125,12.5,True
0.06,130,12.2,True
0.06,135,11.9,True
0.06,140,11.6,True
0.06,145,11.3,True
0.06,150,11.0,True
0.06,155,10.700000000000001,True
0.06,160,10.4,True
0.06,165,10.1,True
0.06,170,9.8,True
0.06,175,9.5,True
0.06,180,9.200000000000001,True
0.06,185,8.9,True
0.06,190,8.6,True
0.06,195,8.3,True
0.06,200,8.0,True
0.06,205,7.700000000000001,True
0.06,210,7.4,True
0.06,215,7.1,True
0.06,220,6.800000000000001,True
0.06,225,6.5,True
0.06,230,6.200000000000001,True
0.06,235,5.9,True
0.06,240,5.600000000000001,True
0.06,245,5.300000000000001,True
0.06,250,5.0,True
0.06,255,4.700000000000001,True
0.06,260,4.4,True
0.06,265,4.100000000000001,True
0.06,270,3.8000000000000007,True
0.06,275,3.5,True
0.06,280,3.1999999999999993,True
0.06,285,2.900000000000002,True
0.06,290,2.6000000000000014,True
0.06,295,2.3000000000000007,True
0.06,300,2.0,True
0.06,305,1.6999999999999993,True
0.06,310,1.4000000000000021,True
0.06,315,1.1000000000000014,True
0.06,320,0.8000000000000007,True
0.06,325,0.5,True
0.06,330,0.1999999999999993,True
0.06,335,-0.09999999999999787,False
0.06,340,-0.3999999999999986,False
0.06,345,-0.6999999999999993,False
0.06,350,-1.0,False
