p,firm_penalty,firm_honest_payoff,firm_bribe_payoff,firm_prefers_bribe
0.03,245,30.0,62.65,True
0.03,250,30.0,62.5,True
0.03,255,30.0,62.35,True
0.03,260,30.0,62.2,True
0.03,265,30.0,62.05,True
0.03,270,30.0,61.9,True
0.03,275,30.0,61.75,True
0.03,280,30.0,61.6,True
0.03,285,30.0,61.45,True
0.03,290,30.0,61.3,True
0.03,295,30.0,61.15,True
0.03,300,30.0,61.0,True
0.03,305,30.0,60.85,True
0.03,310,30.0,60.7,True
0.03,315,30.0,60.55,True
0.03,320,30.0,60.4,True
0.03,325,30.0,60.25,True
0.03,330,30.0,60.1,True
0.03,335,30.0,59.95,True
0.03,340,30.0,59.8,True
0.03,345,30.0,59.65,True
0.03,350,30.0,59.5,True
0.03,355,30.0,59.35,True
0.03,360,30.0,59.2,True
0.03,365,30.0,59.05,True
0.03,370,30.0,58.9,True
0.03,375,30.0,58.75,True
0.03,380,30.0,58.6,True
0.03,385,30.0,58.45,True
0.03,390,30.0,58.3,True
0.03,395,30.0,58.15,True
0.03,400,30.0,58.0,True
0.03,405,30.0,57.85,True
0.03,410,30.0,57.7,True
0.03,415,30.0,57.55,True
0.03,420,30.0,57.4,True
0.03,425,30.0,57.25,True
0.03,430,30.0,57.1,True
0.03,435,30.0,56.95,True
0.03,440,30.0,56.8,True
0.03,445,30.0,56.65,True
0.03,450,30.0,56.5,True
0.03,455,30.0,56.35,True
0.03,460,30.0,56.2,True
0.03,465,30.0,56.05,True
0.03,470,30.0,55.9,True
0.03,475,30.0,55.75,True
0.03,480,30.0,55.6,True
0.03,485,30.0,55.45,True
0.03,490,30.0,55.3,True
0.03,495,30.0,55.15,True
0.03,500,30.0,55.0,True
0.04,0,30.0,70.0,True
0.04,5,30.0,69.8,True
0.04,10,30.0,69.6,True
0.04,15,30.0,69.4,True
0.04,20,30.0,69.2,True
0.04,25,30.0,69.0,True
0.04,30,30.0,68.8,True
0.04,35,30.0,68.6,True
0.04,40,30.0,68.4,True
0.04,45,30.0,68.2,True
0.04,50,30.0,68.0,True
0.04,55,30.0,67.8,True
0.04,60,30.0,67.6,True
0.04,65,30.0,67.4,True
0.04,70,30.0,67.2,True
0.04,75,30.0,67.0,True
0.04,80,30.0,66.8,True
0.04,85,30.0,66.6,True
0.04,90,30.0,66.4,True
0.04,95,30.0,66.2,True
0.04,100,30.0,66.0,True
0.04,105,30.0,65.8,True
0.04,110,30.0,65.6,True
0.04,115,30.0,65.4,True
0.04,120,30.0,65.2,True
0.04,125,30.0,65.0,True
0.04,130,30.0,64.8,True
0.04,135,30.0,64.6,True
0.04,140,30.0,64.4,True
0.04,145,30.0,64.2,True
0.04,150,30.0,64.0,True
0.04,155,30.0,63.8,True
0.04,160,30.0,63.6,True
0.04,165,30.0,63.4,True
0.04,170,30.0,63.2,True
0.04,175,30.0,63.0,True
0.04,180,30.0,62.8,True
0.04,185,30.0,62.6,True
0.04,190,30.0,62.4,True
0.04,195,30.0,62.2,True
0.04,200,30.0,62.0,True
0.04,205,30.0,61.8,True
0.04,210,30.0,61.6,True
0.04,215,30.0,61.4,True
0.04,220,30.0,61.2,True
0.04,225,30.0,61.0,True
0.04,230,30.0,60.8,True
0.04,235,30.0,60.6,True
0.04,240,30.0,60.4,True
0.04,245,30.0,60.2,True
0.04,250,30.0,60.0,True
0.04,255,30.0,59.8,True
0.04,260,30.0,59.6,True
0.04,265,30.0,59.4,True
0.04,270,30.0,59.2,True
0.04,275,30.0,59.0,True
0.04,280,30.0,58.8,True
0.04,285,30.0,58.6,True
0.04,290,30.0,58.4,True
0.04,295,30.0,58.2,True
0.04,300,30.0,58.0,True
0.04,305,30.0,57.8,True
0.04,310,30.0,57.6,True
0.04,315,30.0,57.4,True
0.04,320,30.0,57.2,True
0.04,325,30.0,57.0,True
0.04,330,30.0,56.8,True
0.04,335,30.0,56.6,True
0.04,340,30.0,56.4,True
0.04,345,30.0,56.2,True
0.04,350,30.0,56.0,True
0.04,355,30.0,55.8,True
0.04,360,30.0,55.6,True
0.04,365,30.0,55.4,True
0.04,370,30.0,55.2,True
0.04,375,30.0,55.0,True
0.04,380,30.0,54.8,True
0.04,385,30.0,54.6,True
0.04,390,30.0,54.4,True
0.04,395,30.0,54.2,True
0.04,400,30.0,54.0,True
0.04,405,30.0,53.8,True
0.04,410,30.0,53.6,True
0.04,415,30.0,53.4,True
0.04,420,30.0,53.2,True
0.04,425,30.0,53.0,True
0.04,430,30.0,52.8,True
0.04,435,30.0,52.599999999999994,True
0.04,440,30.0,52.4,True
0.04,445,30.0,52.2,True
0.04,450,30.0,52.0,True
0.04,455,30.0,51.8,True
0.04,460,30.0,51.599999999999994,True
0.04,465,30.0,51.4,True
0.04,470,30.0,51.2,True
0.04,475,30.0,51.0,True
0.04,480,30.0,50.8,True
0.04,485,30.0,50.599999999999994,True
0.04,490,30.0,50.4,True
0.04,495,30.0,50.2,True
0.04,500,30.0,50.0,True
0.05,0,30.0,70.0,True
0.05,5,30.0,69.75,True
0.05,10,30.0,69.5,True
0.05,15,30.0,69.25,True
0.05,20,30.0,69.0,True
0.05,25,30.0,68.75,True
0.05,30,30.0,68.5,True
0.05,35,30.0,68.25,True
0.05,40,30.0,68.0,True
0.05,45,30.0,67.75,True
0.05,50,30.0,67.5,True
0.05,55,30.0,67.25,True
0.05,60,30.0,67.0,True
0.05,65,30.0,66.75,True
0.05,70,30.0,66.5,True
0.05,75,30.0,66.25,True
0.05,80,30.0,66.0,True
0.05,85,30.0,65.75,True
0.05,90,30.0,65.5,True
0.05,95,30.0,65.25,True
0.05,100,30.0,65.0,True
0.05,105,30.0,64.75,True
0.05,110,30.0,64.5,True
0.05,115,30.0,64.25,True
0.05,120,30.0,64.0,True
0.05,125,30.0,63.75,True
0.05,130,30.0,63.5,True
0.05,135,30.0,63.25,True
0.05,140,30.0,63.0,True
0.05,145,30.0,62.75,True
0.05,150,30.0,62.5,True
0.05,155,30.0,62.25,True
0.05,160,30.0,62.0,True
0.05,165,30.0,61.75,True
0.05,170,30.0,61.5,True
0.05,175,30.0,61.25,True
0.05,180,30.0,61.0,True
0.05,185,30.0,60.75,True
0.05,190,30.0,60.5,True
0.05,195,30.0,60.25,True
0.05,200,30.0,60.0,True
0.05,205,30.0,59.75,True
0.05,210,30.0,59.5,True
0.05,215,30.0,59.25,True
0.05,220,30.0,59.0,True
0.05,225,30.0,58.75,True
0.05,230,30.0,58.5,True
0.05,235,30.0,58.25,True
0.05,240,30.0,58.0,True
0.05,245,30.0,57.75,True
0.05,250,30.0,57.5,True
0.05,255,30.0,57.25,True
0.05,260,30.0,57.0,True
0.05,265,30.0,56.75,True
0.05,270,30.0,56.5,True
0.05,275,30.0,56.25,True
0.05,280,30.0,56.0,True
0.05,285,30.0,55.75,True
0.05,290,30.0,55.5,True
0.05,295,30.0,55.25,True
0.05,300,30.0,55.0,True
0.05,305,30.0,54.75,True
0.05,310,30.0,54.5,True
0.05,315,30.0,54.25,True
0.05,320,30.0,54.0,True
0.05,325,30.0,53.75,True
0.05,330,30.0,53.5,True
0.05,335,30.0,53.25,True
0.05,340,30.0,53.0,True
0.05,345,30.0,52.75,True
0.05,350,30.0,52.5,True
0.05,355,30.0,52.25,True
0.05,360,30.0,52.0,True
0.05,365,30.0,51.75,True
0.05,370,30.0,51.5,True
0.05,375,30.0,51.25,True
0.05,380,30.0,51.0,True
0.05,385,30.0,50.75,True
0.05,390,30.0,50.5,True
0.05,395,30.0,50.25,True
0.05,400,30.0,50.0,True
0.05,405,30.0,49.75,True
0.05,410,30.0,49.5,True
0.05,415,30.0,49.25,True
0.05,420,30.0,49.0,True
0.05,425,30.0,48.75,True
0.05,430,30.0,48.5,True
0.05,435,30.0,48.25,True
0.05,440,30.0,48.0,True
0.05,445,30.0,47.75,True
0.05,450,30.0,47.5,True
0.05,455,30.0,47.25,True
0.05,460,30.0,47.0,True
0.05,465,30.0,46.75,True
0.05,470,30.0,46.5,True
0.05,475,30.0,46.25,True
0.05,480,30.0,46.0,True
0.05,485,30.0,45.75,True
0.05,490,30.0,45.5,True
0.05,495,30.0,45.25,True
0.05,500,30.0,45.0,True
0.06,0,30.0,70.0,True
0.06,5,30.0,69.7,True
0.06,10,30.0,69.4,True
0.06,15,30.0,69.1,True
0.06,20,30.0,68.8,True
0.06,25,30.0,68.5,True
0.06,30,30.0,68.2,True
0.06,35,30.0,67.9,True
0.06,40,30.0,67.6,True
0.06,45,30.0,67.3,True
0.06,50,30.0,67.0,True
0.06,55,30.0,66.7,True
0.06,60,30.0,66.4,True
0.06,65,30.0,66.1,True
0.06,70,30.0,65.8,True
0.06,75,30.0,65.5,True
0.06,80,30.0,65.2,True
0.06,85,30.0,64.9,True
0.06,90,30.0,64.6,True
0.06,95,30.0,64.3,True
0.06,100,30.0,64.0,True
0.06,105,30.0,63.7,True
0.06,110,30.0,63.4,True
0.06,115,30.0,63.1,True
0.06,120,30.0,62.8,True
0.06,125,30.0,62.5,True
0.06,130,30.0,62.2,True
0.06,135,30.0,61.9,True
0.06,140,30.0,61.6,True
0.06,145,30.0,61.3,True
0.06,150,30.0,61.0,True
0.06,155,30.0,60.7,True
0.06,160,30.0,60.4,True
0.06,165,30.0,60.1,True
0.06,170,30.0,59.8,True
0.06,175,30.0,59.5,True
0.06,180,30.0,59.2,True
0.06,185,30.0,58.9,True
0.06,190,30.0,58.6,True
0.06,195,30.0,58.3,True
0.06,200,30.0,58.0,True
0.06,205,30.0,57.7,True
0.06,210,30.0,57.4,True
0.06,215,30.0,57.1,True
0.06,220,30.0,56.8,True
0.06,225,30.0,56.5,True
0.06,230,30.0,56.2,True
0.06,235,30.0,55.9,True
0.06,240,30.0,55.6,True
0.06,245,30.0,55.3,True
0.06,250,30.0,55.0,True
0.06,255,30.0,54.7,True
0.06,260,30.0,54.4,True
0.06,265,30.0,54.1,True
0.06,270,30.0,53.8,True
0.06,275,30.0,53.5,True
0.06,280,30.0,53.2,True
0.06,285,30.0,52.900000000000006,True
0.06,290,30.0,52.6,True
0.06,295,30.0,52.3,True
0.06,300,30.0,52.0,True
0.06,305,30.0,51.7,True
0.06,310,30.0,51.400000000000006,True
0.06,315,30.0,51.1,True
0.06,320,30.0,50.8,True
0.06,325,30.0,50.5,True
0.06,330,30.0,50.2,True
0.06,335,30.0,49.900000000000006,True
0.06,340,30.0,49.6,True
0.06,345,30.0,49.3,True
0.06,350,30.0,49.0,True
0.06,355,30.0,48.7,True
0.06,360,30.0,48.400000000000006,True
0.06,365,30.0,48.1,True
0.06,370,30.0,47.8,True
0.06,375,30.0,47.5,True
0.06,380,30.0,47.2,True
0.06,385,30.0,46.900000000000006,True
0.06,390,30.0,46.6,True
0.06,395,30.0,46.3,True
0.06,400,30.0,46.0,True
0.06,405,30.0,45.7,True
0.06,410,30.0,45.400000000000006,True
0.06,415,30.0,45.1,True
0.06,420,30.0,44.8,True
0.06,425,30.0,44.5,True
0.06,430,30.0,44.2,True
0.06,435,30.0,43.900000000000006,True
0.06,440,30.0,43.6,True
0.06,445,30.0,43.3,True
0.06,450,30.0,43.0,True
0.06,455,30.0,42.7,True
0.06,460,30.0,42.400000000000006,True
0.06,465,30.0,42.1,True
0.06,470,30.0,41.8,True
0.06,475,30.0,41.5,True
0.06,480,30.0,41.2,True
0.06,485,30.0,40.900000000000006,True
0.06,490,30.0,40.6,True
0.06,495,30.0,40.3,True
0.06,500,30.0,40.0,True
0.07,0,30.0,70.0,True
0.07,5,30.0,69.65,True
0.07,10,30.0,69.3,True
0.07,15,30.0,68.95,True
0.07,20,30.0,68.6,True
0.07,25,30.0,68.25,True
0.07,30,30.0,67.9,True
0.07,35,30.0,67.55,True
0.07,40,30.0,67.2,True
0.07,45,30.0,66.85,True
0.07,50,30.0,66.5,True
0.07,55,30.0,66.15,True
0.07,60,30.0,65.8,True
0.07,65,30.0,65.45,True
0.07,70,30.0,65.1,True
0.07,75,30.0,64.75,True
0.07,80,30.0,64.4,True
0.07,85,30.0,64.05,True
0.07,90,30.0,63.7,True
0.07,95,30.0,63.35,True
0.07,100,30.0,63.0,True
0.07,105,30.0,62.65,True
0.07,110,30.0,62.3,True
0.07,115,30.0,61.95,True
0.07,120,30.0,61.6,True
0.07,125,30.0,61.25,True
0.07,130,30.0,60.9,True
0.07,135,30.0,60.55,True
0.07,140,30.0,60.2,True
0.07,145,30.0,59.85,True
0.07,150,30.0,59.5,True
0.07,155,30.0,59.15,True
0.07,160,30.0,58.8,True
0.07,165,30.0,58.45,True
0.07,170,30.0,58.1,True
0.07,175,30.0,57.75,True
0.07,180,30.0,57.4,True
0.07,185,30.0,57.05,True
0.07,190,30.0,56.7,True
0.07,195,30.0,56.349999999999994,True
0.07,200,30.0,56.0,True
0.07,205,30.0,55.65,True
0.07,210,30.0,55.3,True
0.07,215,30.0,54.95,True
0.07,220,30.0,54.599999999999994,True
0.07,225,30.0,54.25,True
0.07,230,30.0,53.9,True
0.07,235,30.0,53.55,True
0.07,240,30.0,53.2,True
0.07,245,30.0,52.849999999999994,True
0.07,250,30.0,52.5,True
0.07,255,30.0,52.15,True
0.07,260,30.0,51.8,True
0.07,265,30.0,51.45,True
0.07,270,30.0,51.099999999999994,True
0.07,275,30.0,50.75,True
0.07,280,30.0,50.4,True
0.07,285,30.0,50.05,True
0.07,290,30.0,49.7,True
0.07,295,30.0,49.349999999999994,True
0.07,300,30.0,49.0,True
0.07,305,30.0,48.65,True
0.07,310,30.0,48.3,True
0.07,315,30.0,47.95,True
0.07,320,30.0,47.599999999999994,True
0.07,325,30.0,47.25,True
0.07,330,30.0,46.9,True
0.07,335,30.0,46.55,True
0.07,340,30.0,46.2,True
0.07,345,30.0,45.849999999999994,True
0.07,350,30.0,45.5,True
0.07,355,30.0,45.15,True
0.07,360,30.0,44.8,True
0.07,365,30.0,44.45,True
0.07,370,30.0,44.099999999999994,True
0.07,375,30.0,43.75,True
0.07,380,30.0,43.4,True
0.07,385,30.0,43.05,True
0.07,390,30.0,42.699999999999996,True
0.07,395,30.0,42.349999999999994,True
0.07,400,30.0,42.0,True
0.07,405,30.0,41.65,True
0.07,410,30.0,41.3,True
0.07,415,30.0,40.949999999999996,True
0.07,420,30.0,40.599999999999994,True
0.07,425,30.0,40.25,True
0.07,430,30.0,39.9,True
0.07,435,30.0,39.55,True
0.07,440,30.0,39.199999999999996,True
0.07,445,30.0,38.849999999999994,True
0.07,450,30.0,38.5,True
0.07,455,30.0,38.15,True
0.07,460,30.0,37.8,True
0.07,465,30.0,37.449999999999996,True
0.07,470,30.0,37.099999999999994,True
0.07,475,30.0,36.75,True
0.07,480,30.0,36.4,True
0.07,485,30.0,36.05,True
0.07,490,30.0,35.699999999999996,True
0.07,495,30.0,35.349999999999994,True
0.07,500,30.0,35.0,True
