round,regime,p,sanction,expected_penalty,official_accept_payoff,corruption_attempts,accepted_bribes,distorted_awards,honest_public_value,final_public_value,corruption_loss,all_average_propensity,eligible_average_propensity,eligible_median_propensity,all_firms_above_threshold,eligible_losing_firms_above_threshold
34,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5999943495510531,0.6249929369388165,0.5,500,400
35,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5999957621632898,0.6249947027041124,0.5,500,400
36,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5999968216224675,0.6249960270280843,0.5,500,400
37,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5999976162168505,0.6249970202710632,0.5,500,400
38,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5999982121626378,0.6249977652032974,0.5,500,400
39,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5999986591219784,0.624998323902473,0.5,500,400
40,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.599998994341484,0.6249987429268549,0.5,500,400
41,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.599999245756113,0.6249990571951411,0.5,500,400
42,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5999994343170847,0.6249992928963558,0.5,500,400
43,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5999995757378135,0.6249994696722669,0.5,500,400
44,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.59999968180336,0.6249996022542001,0.5,500,400
45,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5999997613525202,0.6249997016906501,0.5,500,400
46,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.59999982101439,0.6249997762679875,0.5,500,400
47,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5999998657607926,0.6249998322009906,0.5,500,400
48,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5999998993205944,0.624999874150743,0.5,500,400
49,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5999999244904459,0.6249999056130573,0.5,500,400
50,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5999999433678345,0.624999929209793,0.5,500,400
51,Post-reform,0.2,100,20.0,0.0,100,0,0,8197.046436923185,8197.046436923185,0.0,0.5530211590751992,0.5662764488439991,0.5,500,400
52,Post-reform,0.2,100,20.0,0.0,100,0,0,8197.046436923185,8197.046436923185,0.0,0.5179653311222734,0.5224566639028417,0.5,500,400
53,Post-reform,0.2,100,20.0,0.0,100,0,0,8197.046436923185,8197.046436923185,0.0,0.49112332081015425,0.48890415101269286,0.5,500,400
54,Post-reform,0.2,100,20.0,0.0,100,0,0,8197.046436923185,8197.046436923185,0.0,0.46704632982945615,0.45880791228682016,0.5,500,400
55,Post-reform,0.2,100,20.0,0.0,100,0,0,8197.046436923185,8197.046436923185,0.0,0.44374277033655823,0.4296784629206978,0.4372383750371499,500,400
56,Post-reform,0.2,100,20.0,0.0,100,0,0,8197.046436923185,8197.046436923185,0.0,0.42137780756393645,0.4017222594549207,0.38315727166651015,498,398
57,Post-reform,0.2,100,20.0,0.0,100,0,0,8197.046436923185,8197.046436923185,0.0,0.40194250986934815,0.3774281373366852,0.3718987975951904,473,373
58,Post-reform,0.2,100,20.0,0.0,100,0,0,8197.046436923185,8197.046436923185,0.0,0.38371847641648843,0.35464809552061055,0.3608366733466934,447,347
59,Post-reform,0.2,100,20.0,0.0,100,0,0,8197.046436923185,8197.046436923185,0.0,0.3659694565601444,0.3324618207001805,0.3361597039303795,419,319
60,Post-reform,0.2,100,20.0,0.0,100,0,0,8197.046436923185,8197.046436923185,0.0,0.34878413003656644,0.3109801625457081,0.295617425231224,386,286
61,Post-reform,0.2,100,20.0,0.0,76,0,0,8197.046436923185,8197.046436923185,0.0,0.33749490462472204,0.2968686307809026,0.28117492039851466,368,268
62,Post-reform,0.2,100,20.0,0.0,75,0,0,8197.046436923185,8197.046436923185,0.0,0.32738381774667885,0.28422977218334855,0.2684506617443304,334,234
63,Post-reform,0.2,100,20.0,0.0,75,0,0,8197.046436923185,8197.046436923185,0.0,0.3173488550108264,0.2716860687635329,0.2509381001069533,302,202
64,Post-reform,0.2,100,20.0,0.0,75,0,0,8197.046436923185,8197.046436923185,0.0,0.307837046656906,0.25979630832113243,0.23893640143445874,258,158
65,Post-reform,0.2,100,20.0,0.0,53,0,0,8197.046436923185,8197.046436923185,0.0,0.30158558875182095,0.2519819859397762,0.23484594932550273,235,135
66,Post-reform,0.2,100,20.0,0.0,38,0,0,8197.046436923185,8197.046436923185,0.0,0.2975219849542188,0.2469024811927735,0.23395534760239192,226,126
