firm_id,tender_id,propensity_to_bribe,failure_lambda,eligible_loser,round,regime
T030_F4,30,0.5,0.18821643286573145,True,1,Pre-reform
T030_F5,30,0.5,0.18867735470941882,True,1,Pre-reform
T031_F1,31,0.5,0.18913827655310622,False,1,Pre-reform
T031_F2,31,0.5,0.18959919839679357,True,1,Pre-reform
T031_F3,31,0.5,0.19006012024048097,True,1,Pre-reform
T031_F4,31,0.625,0.1905210420841683,True,1,Pre-reform
T031_F5,31,0.5,0.1909819639278557,True,1,Pre-reform
T032_F1,32,0.5,0.19144288577154306,True,1,Pre-reform
T032_F2,32,0.625,0.19190380761523046,True,1,Pre-reform
T032_F3,32,0.5,0.19236472945891783,False,1,Pre-reform
T032_F4,32,0.5,0.1928256513026052,True,1,Pre-reform
T032_F5,32,0.5,0.19328657314629258,True,1,Pre-reform
T033_F1,33,0.5,0.19374749498997995,True,1,Pre-reform
T033_F2,33,0.5,0.19420841683366732,False,1,Pre-reform
T033_F3,33,0.5,0.1946693386773547,True,1,Pre-reform
T033_F4,33,0.5,0.19513026052104207,True,1,Pre-reform
T033_F5,33,0.625,0.19559118236472944,True,1,Pre-reform
T034_F1,34,0.5,0.19605210420841684,False,1,Pre-reform
T034_F2,34,0.5,0.1965130260521042,True,1,Pre-reform
T034_F3,34,0.5,0.1969739478957916,True,1,Pre-reform
T034_F4,34,0.625,0.19743486973947894,True,1,Pre-reform
T034_F5,34,0.5,0.19789579158316634,True,1,Pre-reform
T035_F1,35,0.5,0.19835671342685368,True,1,Pre-reform
T035_F2,35,0.5,0.19881763527054108,True,1,Pre-reform
T035_F3,35,0.625,0.19927855711422846,True,1,Pre-reform
T035_F4,35,0.5,0.19973947895791583,False,1,Pre-reform
T035_F5,35,0.5,0.2002004008016032,True,1,Pre-reform
T036_F1,36,0.5,0.20066132264529057,True,1,Pre-reform
T036_F2,36,0.5,0.20112224448897795,False,1,Pre-reform
T036_F3,36,0.5,0.20158316633266532,True,1,Pre-reform
T036_F4,36,0.625,0.2020440881763527,True,1,Pre-reform
T036_F5,36,0.5,0.20250501002004007,True,1,Pre-reform
T037_F1,37,0.625,0.20296593186372744,True,1,Pre-reform
T037_F2,37,0.5,0.2034268537074148,False,1,Pre-reform
T037_F3,37,0.5,0.2038877755511022,True,1,Pre-reform
T037_F4,37,0.5,0.20434869739478956,True,1,Pre-reform
T037_F5,37,0.5,0.20480961923847696,True,1,Pre-reform
T038_F1,38,0.5,0.2052705410821643,False,1,Pre-reform
T038_F2,38,0.5,0.2057314629258517,True,1,Pre-reform
T038_F3,38,0.625,0.20619238476953905,True,1,Pre-reform
T038_F4,38,0.5,0.20665330661322645,True,1,Pre-reform
T038_F5,38,0.5,0.20711422845691382,True,1,Pre-reform
T039_F1,39,0.5,0.2075751503006012,True,1,Pre-reform
T039_F2,39,0.625,0.20803607214428857,True,1,Pre-reform
T039_F3,39,0.5,0.20849699398797594,False,1,Pre-reform
T039_F4,39,0.5,0.20895791583166332,True,1,Pre-reform
T039_F5,39,0.5,0.2094188376753507,True,1,Pre-reform
T040_F1,40,0.5,0.20987975951903806,False,1,Pre-reform
T040_F2,40,0.625,0.21034068136272543,True,1,Pre-reform
T040_F3,40,0.5,0.21080160320641284,True,1,Pre-reform
T040_F4,40,0.5,0.21126252505010018,True,1,Pre-reform
T040_F5,40,0.5,0.21172344689378758,True,1,Pre-reform
T041_F1,41,0.5,0.21218436873747493,True,1,Pre-reform
T041_F2,41,0.5,0.21264529058116233,False,1,Pre-reform
T041_F3,41,0.5,0.21310621242484967,True,1,Pre-reform
T041_F4,41,0.625,0.21356713426853707,True,1,Pre-reform
T041_F5,41,0.5,0.21402805611222445,True,1,Pre-reform
T042_F1,42,0.5,0.21448897795591182,False,1,Pre-reform
T042_F2,42,0.5,0.2149498997995992,True,1,Pre-reform
T042_F3,42,0.625,0.21541082164328657,True,1,Pre-reform
T042_F4,42,0.5,0.21587174348697394,True,1,Pre-reform
T042_F5,42,0.5,0.2163326653306613,True,1,Pre-reform
T043_F1,43,0.5,0.21679358717434868,False,1,Pre-reform
T043_F2,43,0.5,0.21725450901803606,True,1,Pre-reform
T043_F3,43,0.5,0.21771543086172343,True,1,Pre-reform
T043_F4,43,0.625,0.2181763527054108,True,1,Pre-reform
T043_F5,43,0.5,0.2186372745490982,True,1,Pre-reform
T044_F1,44,0.5,0.21909819639278555,True,1,Pre-reform
T044_F2,44,0.5,0.21955911823647295,False,1,Pre-reform
T044_F3,44,0.5,0.2200200400801603,True,1,Pre-reform
T044_F4,44,0.625,0.2204809619238477,True,1,Pre-reform
T044_F5,44,0.5,0.22094188376753504,True,1,Pre-reform
T045_F1,45,0.625,0.22140280561122244,True,1,Pre-reform
T045_F2,45,0.5,0.22186372745490981,True,1,Pre-reform
T045_F3,45,0.5,0.2223246492985972,False,1,Pre-reform
T045_F4,45,0.5,0.22278557114228456,True,1,Pre-reform
T045_F5,45,0.5,0.22324649298597193,True,1,Pre-reform
